ID;tipo;singoloAngoloNO;singoloAngoloNE;singoloAngoloSE;singoloAngoloSO;simboloRetro0;simboloRetro1;simboloRetro2;simboliXPosizionamento0;simboliXPosizionamento1;simboliXPosizionamentoQuantita0;simboliXPosizionamentoQuantita1;valorePunti;moltiplicatorePunti
0;0;0;2;2;1;2;0;0;0;0;0;0;0;0
1;0;2;2;1;0;2;0;0;0;0;0;0;0;0
2;0;2;1;0;2;2;0;0;0;0;0;0;0;0
3;0;1;0;2;2;2;0;0;0;0;0;0;0;0
4;0;2;5;0;8;2;0;0;0;0;0;0;0;0
5;0;0;6;2;3;2;0;0;0;0;0;0;0;0
6;0;7;2;4;0;2;0;0;0;0;0;0;0;0
7;0;0;1;1;2;2;0;0;0;0;0;0;1;0
8;0;2;0;1;1;2;0;0;0;0;0;0;1;0
9;0;1;2;0;1;2;0;0;0;0;0;0;1;0
10;0;0;3;3;1;3;0;0;0;0;0;0;0;0
11;0;3;3;1;0;3;0;0;0;0;0;0;0;0
12;0;3;1;0;3;3;0;0;0;0;0;0;0;0
13;0;1;0;3;3;3;0;0;0;0;0;0;0;0
14;0;8;0;4;3;3;0;0;0;0;0;0;0;0
15;0;0;5;3;6;3;0;0;0;0;0;0;0;0
16;0;2;3;7;0;3;0;0;0;0;0;0;0;0
17;0;0;3;1;1;3;0;0;0;0;0;0;1;0
18;0;1;1;3;0;3;0;0;0;0;0;0;1;0
19;0;1;1;0;3;3;0;0;0;0;0;0;1;0
20;0;1;4;4;0;4;0;0;0;0;0;0;0;0
21;0;4;4;0;1;4;0;0;0;0;0;0;0;0
22;0;0;1;4;4;4;0;0;0;0;0;0;0;0
23;0;4;0;1;4;4;0;0;0;0;0;0;0;0
24;0;3;4;8;0;4;0;0;0;0;0;0;0;0
25;0;6;0;2;4;4;0;0;0;0;0;0;0;0
26;0;0;5;4;7;4;0;0;0;0;0;0;0;0
27;0;1;4;0;1;4;0;0;0;0;0;0;1;0
28;0;0;1;1;4;4;0;0;0;0;0;0;1;0
29;0;1;0;4;1;4;0;0;0;0;0;0;1;0
30;0;1;5;5;0;5;0;0;0;0;0;0;0;0
31;0;5;5;0;1;5;0;0;0;0;0;0;0;0
32;0;0;1;5;5;5;0;0;0;0;0;0;0;0
33;0;5;0;1;5;5;0;0;0;0;0;0;0;0
34;0;8;5;2;0;5;0;0;0;0;0;0;0;0
35;0;0;6;5;4;5;0;0;0;0;0;0;0;0
36;0;5;3;0;7;5;0;0;0;0;0;0;0;0
37;0;0;5;1;1;5;0;0;0;0;0;0;1;0
38;0;5;0;1;1;5;0;0;0;0;0;0;1;0
39;0;1;1;5;0;5;0;0;0;0;0;0;1;0
